2015-03-09 14:49:57 - PHP Notice:  Undefined index: view_product in D:\xampp\htdocs\mstore\catalog\controller\common\footer.php on line 88
2015-03-09 14:49:57 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:49:57 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:50:07 - PHP Notice:  Undefined index: view_product in D:\xampp\htdocs\mstore\catalog\controller\product\product.php on line 162
2015-03-09 14:50:09 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:50:09 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:53:45 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:53:45 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:54:00 - PHP Notice:  Undefined offset: 6 in D:\xampp\htdocs\mstore\catalog\model\catalog\product.php on line 594
2015-03-09 14:54:00 - PHP Notice:  Undefined index: view_product in D:\xampp\htdocs\mstore\catalog\controller\common\footer.php on line 88
2015-03-09 14:54:00 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:54:00 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:55:42 - PHP Notice:  Undefined index: view_product in D:\xampp\htdocs\mstore\catalog\controller\common\footer.php on line 88
2015-03-09 14:55:42 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:55:42 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:07 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:07 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:22 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:22 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:31 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 14:57:31 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:15 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:15 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:25 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:25 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:30 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:30 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:37 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:37 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:41 - PHP Warning:  array_chunk(): Size parameter expected to be greater than 0 in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
2015-03-09 15:05:41 - PHP Warning:  Invalid argument supplied for foreach() in D:\xampp\htdocs\mstore\catalog\view\theme\default\template\common\header.tpl on line 173
